"controle";"categoria";"tipo";"calibre";"marca";"quantidade";"origem"
"45696281-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;2
"51402411-2019";1;"pistola";".380";"taurus";1;2
"67103051-2019";1;"pistola";"9 mm luger (9x19mm)";"bul";1;1
"67423081-2019";1;"espingarda";"28";"indeterminado";1;1
"67423081-2019";1;"garrucha";"36";"indeterminado";1;1
"83653521-2019";1;"revólver";".38";"taurus";1;2
"91490751-2019";1;"fuzil";"7,62";"d.p.m.s.";1;1
"91490751-2019";1;"fuzil";"5,56 mm";"indeterminado";1;1
"91490751-2019";1;"fuzil";".223 armalite (5,56x45 mm)";"colt";1;1
"94011791-2019";1;"pistola";"9 mm";"taurus";1;2
"94340131-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"06152601-2019";1;"espingarda";"12";"indeterminado";1;1
"07177211-2019";1;"revólver";".38";"taurus";1;2
"07834081-2019";1;"revólver";".38";"taurus";1;2
"12171041-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;2
"12838921-2019";1;"espingarda";"28";"indeterminado";1;1
"14352991-2019";1;"revólver";".38 spl";"taurus";1;2
"21916981-2019";1;"pistola";"9 mm";"taurus";1;1
"34358771-2019";1;"fuzil";"7,62";"indeterminado";1;1
"42574191-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"50512351-2019";1;"revólver";".38";"taurus";1;2
"60725151-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;1
"69977571-2019";1;"fuzil";".308 winchester (7,62x51 mm)";"indeterminado";1;1
"73973061-2019";1;"pistola";".40";"indeterminado";1;2
"74164941-2019";1;"revólver";".38 spl";"taurus";1;2
"91504251-2019";1;"pistola";"9 mm";"canik";1;1
"94870181-2019";1;"revólver";".38 spl";"taurus";1;2
"06962921-2019";1;"revólver";".38";"indeterminado";1;2
"16391211-2019";1;"revólver";"6,35 mm";"orbea hermanos";1;1
"17645051-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;1
"17645051-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"30855791-2019";1;"revólver";".32";"ina";1;2
"30855791-2019";1;"revólver";".32";"taurus";1;2
"57800931-2019";1;"pistola";"9 mm";"bul";1;1
"57800931-2019";1;"fuzil";"7,62 x 39 mm (m43)";"ak";1;1
"57800931-2019";1;"pistola";".40";"taurus";1;2
"76750411-2019";1;"revólver";".38";"não identificada";1;1
"81138241-2019";1;"pistola";"9 mm parabellum (9x19mm)";"taurus";1;1
"82825451-2019";1;"espingarda";"28";"cbc";1;2
"95907131-2019";1;"revólver";".32";"ina";1;1
"96323551-2019";1;"pistola";".380";"indeterminado";1;1
"98871591-2019";1;"revólver";"32";"taurus";1;2
"03379921-2019";1;"pistola";".380";"taurus";1;1
"08979451-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;1
"18763381-2019";1;"revólver";".38";"s&w";1;1
"20732211-2019";1;"espingarda";"12";"não identificada";1;1
"21285681-2019";1;"pistola";"9 mm";"glock";1;1
"22029961-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;1
"22924521-2019";1;"pistola";".380 acp (9x17 mm)";"taurus";1;2
"40254411-2019";1;"arma de fabricação caseira";"32";"não identificada";1;1
"40254411-2019";1;"espingarda";"32";"indeterminado";1;1
"40254411-2019";1;"arma de fabricação caseira";"24";"não identificada";1;1
"40254411-2019";1;"arma de fabricação caseira";"24";"não identificada";1;1
"40254411-2019";1;"garrucha";"22";"indeterminado";1;1
"40254411-2019";1;"espingarda";"36";"indeterminado";1;1
"40254411-2019";1;"arma de fabricação caseira";"24";"não identificada";1;1
"40254411-2019";1;"arma de fabricação caseira";"36";"não identificada";1;1
"42490501-2019";1;"pistola";"9 mm";"não identificada";1;1
"42490501-2019";1;"revólver";".38";"taurus";1;1
"45963751-2019";1;"espingarda";"16";"stevens";1;1
"47583781-2019";1;"fuzil";"7,62 mm kalashnikov (7,62x39)";"anderson manufacturi";1;1
"52664931-2019";1;"pistola";"9 mm";"glock";1;1
"52664931-2019";1;"pistola";"9 mm";"zigana";1;1
"62918171-2019";1;"revólver";".32";"taurus";1;2
"63694351-2019";1;"carabina";".22 long";"indeterminado";1;1
"63694351-2019";1;"revólver";".32";"indeterminado";1;1
"64876941-2019";1;"revólver";".38";"rossi";1;2
"81234791-2019";1;"pistola";"9 mm";"sarsilmaz";1;1
"98919041-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;2
"00903971-2019";1;"pistola";"9 mm luger (9x19mm)";"bersa";1;1
"00903971-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;2
"07768681-2019";1;"revólver";".32";"taurus";1;2
"12030071-2019";1;"submetralhadora";"9 mm";"indeterminado";1;1
"41365551-2019";1;"revólver";".38 s&w (9x20 mm)";"s&w";1;1
"54094961-2019";1;"pistola";".380 auto (9x17 mm)";"imbel";1;2
"54485671-2019";1;"arma de fabricação caseira";"";"";1;1
"54485671-2019";1;"arma de fabricação caseira";"";"";1;1
"55174131-2019";1;"espingarda";".12";"boito";1;2
"57880831-2019";1;"pistola";"9 mm parabellum (9x19mm)";"bersa";1;1
"60573661-2019";1;"revólver";".38 spl";"não identificada";1;2
"61998401-2019";1;"pistola";".45";"taurus";1;1
"63789081-2019";1;"pistola";"9 mm";"indeterminado";1;1
"73206671-2019";1;"espingarda";"12";"rossi";1;2
"81062081-2019";1;"pistola";".40 s&w (10 x 22)";"glock";1;1
"89618111-2019";1;"revólver";".38 spl";"taurus";1;2
"93841121-2019";1;"garrucha";".22 long";"indeterminado";1;2
"94684151-2019";1;"revólver";".38 spl";"rossi";1;2
"97194831-2019";1;"revólver";".38";"taurus";1;1
"98014911-2019";1;"pistola";"9 mm";"indeterminado";1;1
"98125291-2019";1;"fuzil";".223 remington (5,56x45 mm)";"indeterminado";1;1
"00490161-2019";1;"garrucha";".380";"indeterminado";1;1
"01573601-2019";1;"arma de fabricação caseira";"indeterminado";"indeterminado";1;1
"01573601-2019";1;"arma de fabricação caseira";"indeterminado";"indeterminado";1;1
"10731021-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;1
"11709271-2019";1;"pistola";".380";"taurus";1;2
"19211021-2019";1;"pistola";"9 mm";"sarsilmaz";1;1
"33210411-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"33886781-2019";1;"espingarda";"12";"não identificada";1;2
"46933871-2019";1;"revólver";".38 spl";"rossi";1;2
"50569451-2019";1;"revólver";".38 spl curto";"taurus";1;2
"54557901-2019";1;"revólver";".38 special (9 x 29,5 mm)";"taurus";1;2
"69556171-2019";1;"revólver";".38 special (9 x 29,5 mm)";"rossi";1;2
"73332051-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"76518491-2019";1;"revólver";".38";"taurus";1;2
"80684321-2019";1;"pistola";".380 auto (9x17 mm)";"taurus";1;2
"80908251-2019";1;"pistola";".45 auto";"indeterminado";1;1
"95347481-2019";1;"pistola";".380";"taurus";1;2
"95347481-2019";1;"pistola";".380";"taurus";1;2
"02668121-2019";1;"pistola";"9 mm luger (9x19mm)";"glock";1;1
"06400741-2019";1;"revólver";".38 spl";"taurus";1;2
"07901391-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;1
"32011311-2019";1;"revólver";"32";"taurus";1;2
"36328061-2019";1;"pistola";"9 mm";"taurus";1;2
"45105681-2019";1;"pistola";".40";"glock";1;1
"45105681-2019";1;"fuzil";"7,62";"indeterminado";1;1
"50164971-2019";1;"revólver";".38";"rossi";1;2
"56134421-2019";1;"revólver";".38";"taurus";1;2
"58095301-2019";1;"pistola";"7,65 mm";"manurhin";1;1
"59858731-2019";1;"pistola";"9 mm luger (9x19mm)";"taurus";1;2
"59858731-2019";1;"fuzil";".308 winchester (7,62x51 mm)";"d.p.m.s.";1;1
"60132661-2019";1;"revólver";".38";"taurus";1;2
"60132661-2019";1;"revólver";"outros";"taurus";1;2
"62278381-2019";1;"pistola";"9 mm";"glock";1;1
"64102841-2019";1;"revólver";".38";"indeterminado";1;1
"65563641-2019";1;"fuzil";"7,62 mm kalashnikov (7,62x39)";"zastava";1;1
