controle;categoria;tipo;calibre;marca;quantidade;origem
94870181-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
03379921-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
03379921-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
03379921-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
16391211-2018;1;pistola;.380 auto (9x17 mm);taurus;1;2
17645051-2018;1;fuzil;5,56 mm;colt;1;1
18763381-2018;1;arma de fabricação caseira;.32;não identificada;1;1
20732211-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
21285681-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;1
22029961-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
22924521-2018;1;revólver;.38;rossi;1;1
30855791-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;1
42490501-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
42490501-2018;1;pistola;.40 s&w;glock;1;1
45963751-2018;1;revólver;38 spl;taurus;1;2
47583781-2018;1;pistola;9 mm;indeterminado;1;1
52664931-2018;1;pistola;9 mm;taurus;1;1
57800931-2018;1;pistola;9 mm;glock;1;1
62918171-2018;1;fuzil;7,62 mm kalashnikov (7,62x39);indeterminado;1;1
63694351-2018;1;pistola;9 mm luger (9x19mm);bersa;1;1
64876941-2018;1;espingarda;12;indeterminado;1;1
81138241-2018;1;revólver;.32 s&w;castelo;1;2
81234791-2018;1;revólver;indeterminado;indeterminado;1;1
82825451-2018;1;pistola;40;glock;1;1
95907131-2018;1;revólver;.38 spl;taurus;1;2
95907131-2018;1;espingarda;.32;não identificada;1;1
96323551-2018;1;pistola;9 mm;taurus;1;2
98871591-2018;1;revólver;.38;taurus;1;2
98919041-2018;1;revólver;.32;ina;1;2
00903971-2018;1;pistola;.40 s&w;taurus;1;1
07768681-2018;1;pistola;.45;colt;1;1
08979451-2018;1;pistola;.380;taurus;1;2
40254411-2018;1;pistola;380 auto (9x17);glock;1;1
54094961-2018;1;pistola;9 mm;taurus;1;2
55174131-2018;1;pistola;.40;taurus;1;2
57880831-2018;1;pistola;9 mm;zigana;1;1
60573661-2018;1;revólver;.22;s&w;1;1
61998401-2018;1;pistola;.40 s&w;glock;1;1
63789081-2018;1;espingarda;12;boito;1;2
89618111-2018;1;espingarda;32;não identificada;1;1
89618111-2018;1;espingarda;36;lerap;1;1
89618111-2018;1;espingarda;36;lerap;1;1
89618111-2018;1;garrucha;36;não identificada;1;1
94684151-2018;1;pistola;9 mm;não identificada;1;1
97194831-2018;1;pistola;.40;taurus;1;1
98014911-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;1
00490161-2018;1;revólver;.32 s&w long;taurus;1;2
01573601-2018;1;pistola;9 mm luger (9x19mm);bersa;1;1
10731021-2018;1;revólver;indeterminado;indeterminado;1;1
11709271-2018;1;pistola;.45;glock;1;1
12030071-2018;1;pistola;.40;cz;1;1
19211021-2018;1;pistola;9 mm;taurus;1;2
33210411-2018;1;revólver;.38;rossi;1;2
33886781-2018;1;revólver;.38;rossi;1;2
41365551-2018;1;pistola;.40 s&w;taurus;1;1
50569451-2018;1;revólver;38 spl;taurus;1;2
54485671-2018;1;revólver;.38;taurus;1;2
54557901-2018;1;revólver;38 spl;s&w;1;1
54557901-2018;1;revólver;.22 lr;rossi;1;1
69556171-2018;1;pistola;.45 auto;s&w;1;1
73206671-2018;1;revólver;.38 s&w (9x20 mm);s&w;1;2
73332051-2018;1;pistola;9 mm;canik;1;1
76518491-2018;1;garrucha;.320;rossi;1;2
80908251-2018;1;revólver;.38 special (9 x 29,5 mm);rossi;1;2
81062081-2018;1;revólver;.38;taurus;1;2
93841121-2018;1;pistola;.40 s&w;taurus;1;2
95347481-2018;1;revólver;.38;taurus;1;2
98125291-2018;1;revólver;.38 spl;taurus;1;2
02668121-2018;1;pistola;.40;taurus;1;2
06400741-2018;1;pistola;9 mm luger (9x19mm);canik;1;1
32011311-2018;1;pistola;.40;taurus;1;2
36328061-2018;1;pistola;9 mm;taurus;1;2
45105681-2018;1;revólver;.38;taurus;1;2
46933871-2018;1;revólver;.38;rossi;1;2
50164971-2018;1;pistola;9 mm;taurus;1;2
56134421-2018;1;pistola;.40;taurus;1;2
58095301-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;2
58095301-2018;1;revólver;.38 special (9 x 29,5 mm);taurus;1;2
59858731-2018;1;pistola;9 mm;taurus;1;1
59858731-2018;1;pistola;9 mm;glock;1;1
59858731-2018;1;pistola;.40;glock;1;1
60132661-2018;1;fuzil;7,62 x 39 mm (m43);não identificada;1;1
64102841-2018;1;pistola;.380;taurus;1;2
65563641-2018;1;pistola;9 mm;canik;1;1
69593061-2018;1;pistola;9 mm;canik;1;1
70074071-2018;1;revólver;383 s&w (9x20);taurus;1;2
80684321-2018;1;revólver;.32;taurus;1;2
80684321-2018;1;carabina;.22;cbc;1;2
80684321-2018;1;carabina;.22;rossi;1;2
80684321-2018;1;carabina;.22;cbc;1;2
80684321-2018;1;carabina;.32-20 winchester (8 x 33 mm);chapina;1;2
87353351-2018;1;revólver;.38;taurus;1;2
96570571-2018;1;pistola;.380;imbel;1;2
96570571-2018;1;pistola;.380 acp (9x17 mm);taurus;1;2
98521581-2018;1;pistola;9 mm;cz;1;1
99307341-2018;1;pistola;9 mm luger (9x19mm);girsan;1;1
05031451-2018;1;pistola;.380;taurus;1;2
07901391-2018;1;pistola;9 mm;taurus;1;2
29678081-2018;1;pistola;9 mm;bul;1;1
29928101-2018;1;pistola;7,62;imbel;1;2
33347291-2018;1;espingarda;28;não identificada;1;2
33347291-2018;1;espingarda;28;cbc;1;2
34830531-2018;1;espingarda;28;indeterminado;1;1
39980931-2018;1;pistola;9 mm luger (9x19mm);taurus;1;2
39980931-2018;1;pistola;.45 auto;glock;1;1
39980931-2018;1;pistola;.40 s&w;glock;1;1
41812461-2018;1;pistola;9 mm luger (9x19mm);canik;1;1
41812461-2018;1;fuzil;7,62 mm kalashnikov (7,62x39);s.n. romarm;1;1
42172471-2018;1;fuzil;.308 winchester (7,62x51 mm);fn;1;1
42413341-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
43737751-2018;1;pistola;.380;indeterminado;1;1
60167931-2018;1;pistola;.40;glock;1;1
62278381-2018;1;pistola;9 mm;indeterminado;1;1
71285741-2018;1;revólver;.38;rossi;1;2
71285741-2018;1;pistola;9 mm;browning;1;1
75872141-2018;1;revólver;.38;taurus;1;2
75872141-2018;1;pistola;9 mm;d b - diamondback;1;1
83971891-2018;1;pistola;9 mm;bersa;1;1
86552601-2018;1;pistola;9 mm;luger;1;1
87772801-2018;1;revólver;.38;taurus;1;1
90772981-2018;1;revólver;.32;ina;1;2
91485381-2018;1;pistola;.380;imbel;1;2
92056571-2018;1;revólver;.38;taurus;1;2
92056571-2018;1;pistola;.380;taurus;1;2
92473941-2018;1;revólver;.38 special (9 x 29,5 mm);s&w;1;1
02837021-2018;1;pistola;.380 acp (9x17 mm);imbel;1;1
03547471-2018;1;pistola;.380;taurus;1;2
03547471-2018;1;revólver;.38 spl;taurus;1;2
13378361-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
13378361-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
13378361-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
13378361-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
13378361-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
13378361-2018;1;pistola;9 mm luger (9x19mm);glock;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 auto;glock;1;1
13378361-2018;1;pistola;.40 auto;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;fuzil;.223 armalite (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;fuzil;.223 remington (5,56x45 mm);indeterminado;1;1
13378361-2018;1;pistola;40;glock;1;1
13378361-2018;1;pistola;40;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
13378361-2018;1;pistola;.40 s&w;glock;1;1
